source_id,radius_gspphot,radius_gspphot_lower,radius_gspphot_upper,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,fem_gspspec,fem_gspspec_lower,fem_gspspec_upper,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,ecl_lon,ecl_lat
4103671243754951296,0.5023,0.4978,0.5034,3224.9536,3222.7979,3241.176,4.1732,4.1664,4.2287,,,,279.6869546094248,-14.493090301699558,10.241307,11.498909,9.135763,13.3978,13.3707,13.4682,279.48418181113794,8.627835786389387
461701979229013376,0.4488,0.4457,0.4509,3508.4785,3495.3096,3525.3044,4.7295,4.6811,4.775,,,,49.061375759751755,58.165927998691465,10.019066,11.186045,8.943984,13.5867,13.5495,13.6339,63.836272806719876,38.38768166994313
461701979233050624,0.4814,0.4531,0.5033,3310.7295,3253.0535,3442.9224,4.3573,4.1606,4.6995,,,,49.06146615550071,58.16732758589717,10.193903,11.395733,9.102655,13.5787,13.4991,13.6651,63.836923938238165,38.38898575593588
2195886971653527168,0.6412,0.6361,0.6423,3473.9587,3471.713,3487.792,3.9736,3.9674,4.0157,,,,313.3324563031005,62.150957701503515,7.756715,8.790974,6.7472963,7.0383,7.0316,7.0493,7.104283482874525,71.15261791186495
6021430250773348736,0.4892,0.4811,0.4907,3155.9285,3153.1975,3174.861,4.1578,4.1477,4.2245,,,,245.01042208462846,-37.524610446713915,9.495382,10.836117,8.347611,8.5053,8.4622,8.5135,249.61886966328024,-15.836895821729174
139860666488305664,0.5135,0.5122,0.5142,3978.9165,3977.3003,3981.4248,4.734,4.7302,4.7389,0.07,-0.02,0.14,43.0351018418911,34.384950446682915,9.027057,9.82409,8.152574,14.751,14.7291,14.7627,50.86650905904822,17.104862381796288
1958030617647715328,0.1977,0.1975,0.1992,2918.91,2918.3235,2919.3667,5.0694,5.067,5.0699,,,,332.8501471342748,40.999937747390554,13.217788,15.392482,11.862342,12.6801,12.6704,12.7532,355.3174689566388,47.63878165349862
3288921720025503360,1.4681,1.4639,1.473,6154.11,6149.9863,6158.3145,4.0309,4.0248,4.0443,,,,72.46212402119102,6.9613310085374644,3.0879216,3.513966,2.7081478,8.016,7.9981,8.0341,71.92685984819002,-15.384373725534873
5994771148252505216,0.726,0.7255,0.7266,4413.7607,4413.114,4414.429,4.5554,4.5548,4.556,-0.04,-0.07,-0.0,239.41821382382682,-42.62508240537215,7.658037,8.27292,6.906685,14.7317,14.7234,14.738,246.24448221603876,-21.67515863752014
5918660719983560192,0.3442,0.3439,0.3453,3104.3184,3103.422,3105.249,4.3575,4.3543,4.3615,,,,266.6334444727895,-57.32506180218072,9.592273,11.001,8.416265,5.8922,5.8895,5.9067,267.8107070566238,-33.911362635287595
1155276250492687616,0.5547,0.5508,0.5557,3166.075,3164.047,3177.0474,4.0886,4.082,4.1227,,,,227.39562087412435,3.1689590731574753,10.37806,11.712266,9.23603,14.6035,14.5896,14.6199,223.98159713983478,20.06300187187909
3840711729206827520,0.3895,0.3663,0.3933,3088.8386,3080.0486,3215.4426,4.3057,4.2706,4.6893,,,,142.68324346444365,0.32022324371767896,10.501792,11.966499,9.315035,9.888,9.8179,9.9127,144.925263788965,-13.651118269131036
3838384617141390208,0.2954,0.2947,0.296,3269.4119,3268.624,3274.7,4.4513,4.45,4.4575,,,,140.4513282977866,-2.328676307427825,11.036237,12.331319,9.911898,11.9492,11.9332,11.9907,143.62295221229797,-16.878773786718025
3828238392559860992,0.6092,0.5891,0.6261,3358.8308,3329.9856,3473.053,4.2371,4.144,4.5425,,,,153.07293731001045,-3.746747553020674,8.331761,9.491674,7.257185,7.7076,7.6786,7.7473,156.40461120635706,-13.869116461571297
5640565607657897728,0.7692,0.7685,0.77,5207.114,5204.576,5209.5757,4.5402,4.5389,4.5416,-0.02,-0.04,0.0,128.20875984158528,-31.497462976881874,6.168385,6.567158,5.5905,12.1433,12.1283,12.1553,142.35016233265674,-48.23261450976159
2070115588901082368,0.4321,0.4319,0.4323,3526.5664,3526.3264,3526.8047,4.8172,4.8167,4.8177,,,,311.2697846821949,44.5002726683959,9.828687,11.005876,8.750727,12.0408,12.0369,12.0449,335.63732427599183,58.905551591749344
436648129327098496,1.4481,1.4456,1.4508,5873.7397,5872.3535,5875.1943,4.211,4.2099,4.2121,-0.17,-0.19,-0.14,47.27540485964256,49.612873858437766,3.9026392,4.208915,3.42685,10.5637,10.5467,10.5812,59.27623945530363,30.629874735704167
2043885295914531072,1.2145,1.2119,1.217,5844.264,5841.326,5847.075,4.2475,4.2462,4.2489,-0.17,-0.25,-0.1,284.25768829000344,32.90072064481614,5.1740646,5.388042,4.6085796,14.8872,14.8623,14.9127,291.2939755612962,55.290939710453564
2051984436005124480,0.6026,0.5816,0.6101,3086.257,3075.4917,3124.085,3.9849,3.9315,4.1317,,,,293.8709266578083,37.768516622022624,10.383362,11.825995,9.199344,14.4276,14.2719,14.534,307.3214876245478,58.15459925381728
4785886941312921344,0.2033,0.203,0.2035,3063.346,3063.0635,3063.7495,5.0729,5.0726,5.0733,,,,76.30968124678876,-47.937535542918475,12.873695,14.701837,11.593872,13.9557,13.9431,13.9629,62.29005801527651,-70.06300669935504
3089711447388931584,0.5157,0.5131,0.5161,3286.0022,3285.5312,3287.9294,3.9676,3.9664,3.9747,,,,124.03158305457569,1.3028427269823109,9.133169,10.33759,8.039904,8.9314,8.904,8.9369,126.03191163794757,-17.98110854460927
4453239765733463936,0.4506,0.4231,0.4541,3167.7283,3158.4348,3279.8528,4.235,4.2052,4.5809,,,,242.31623494090078,9.353067995129823,10.659685,12.006066,9.5102825,13.529,13.4363,13.5749,238.1186009336508,29.77966653792321
6171492113110925312,0.739,0.735,0.7614,3826.127,3813.7961,3830.448,4.393,4.3538,4.4057,,,,206.92897157434948,-32.431131168201624,8.416762,9.238193,7.5313497,14.6001,14.5648,14.9251,216.852557735797,-19.875728291785695
6173812151364882688,0.3425,0.3402,0.3433,3093.4543,3089.1812,3103.0166,4.3359,4.3228,4.3725,,,,209.30431353578368,-29.375884964102998,11.373799,12.789658,10.2049885,13.2459,13.2319,13.2681,217.65852523326552,-16.284139628736646
514923083669786112,0.553,0.5416,0.5553,3165.7498,3163.9897,3191.5164,4.0835,4.0758,4.1701,,,,30.394655289650444,63.769578629484386,9.9323845,11.259634,8.790385,11.8975,11.8086,11.926,55.848020656760795,47.22712682948586
