nflId,height,weight,birthDate,collegeName,officialPosition,displayName,height_inches,age
25511,6-4,225,1977-08-03,Michigan,QB,Tom Brady,76.0,47
28963,6-5,240,1982-03-02,"Miami, O.",QB,Ben Roethlisberger,77.0,42
29550,6-4,328,1982-01-22,Arkansas,T,Jason Peters,76.0,42
29851,6-2,225,1983-12-02,California,QB,Aaron Rodgers,74.0,41
30078,6-2,228,1982-11-24,Harvard,QB,Ryan Fitzpatrick,74.0,42
30842,6-6,267,1984-05-19,UCLA,TE,Marcedes Lewis,78.0,40
30869,6-7,330,1981-12-12,Louisiana State,T,Andrew Whitworth,79.0,43
33084,6-4,217,1985-05-17,Boston College,QB,Matt Ryan,76.0,39
33107,6-4,315,1985-08-30,Virginia Tech,T,Duane Brown,76.0,39
33130,5-10,175,1986-12-01,California,WR,DeSean Jackson,70.0,38
33131,6-8,300,1986-09-01,Miami,DE,Calais Campbell,80.0,38
33138,6-3,222,1985-07-02,Michigan,QB,Chad Henne,75.0,39
33566,5-11,185,1985-11-02,Texas Tech,WR,Danny Amendola,71.0,39
34452,6-3,220,1988-02-07,Georgia,QB,Matthew Stafford,75.0,36
34457,6-4,330,1987-01-25,Alabama,T,Andre Smith,76.0,37
34465,6-0,204,1987-12-20,Ohio State,SS,Malcolm Jenkins,72.0,37
34472,6-4,311,1985-11-19,California,C,Alex Mack,76.0,39
34540,6-5,254,1987-04-07,South Carolina,TE,Jared Cook,77.0,37
34654,5-11,195,1987-08-13,Rutgers,FS,Jason McCourty,71.0,37
34777,6-3,310,1986-01-03,Troy,NT,Steve McLendon,75.0,38
34843,6-2,215,1985-10-13,Michigan State,QB,Brian Hoyer,74.0,39
35441,6-4,313,1987-01-06,Nebraska,DE,Ndamukong Suh,76.0,37
35442,6-4,300,1988-02-25,Oklahoma,DT,Gerald McCoy,76.0,36
35443,6-5,320,1988-07-19,Oklahoma,T,Trent Williams,77.0,36
35446,5-11,195,1989-04-14,Florida,CB,Joe Haden,71.0,35
35449,6-3,304,1987-05-12,California,DE,Tyson Alualu,75.0,37
35452,6-2,265,1988-04-03,Michigan,DE,Brandon Graham,74.0,36
35454,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,77.0,35
35459,5-10,185,1988-04-10,Alabama,SS,Kareem Jackson,70.0,36
35462,6-5,314,1989-03-21,Iowa,T,Bryan Bulaga,77.0,35
35466,5-10,195,1987-08-13,Rutgers,FS,Devin McCourty,70.0,37
35470,6-2,254,1988-08-13,Texas Christian,DE,Jerry Hughes,74.0,36
35472,6-5,325,1988-06-06,Indiana,G,Rodger Saffold,77.0,36
35481,6-6,265,1989-05-14,Arizona,TE,Rob Gronkowski,78.0,35
35485,6-4,329,1988-10-10,East Carolina,NT,Linval Joseph,76.0,36
35493,6-6,285,1989-02-28,Florida,OLB,Carlos Dunlap,78.0,35
35521,5-11,180,1987-03-17,Southern Methodist,WR,Emmanuel Sanders,71.0,37
35522,6-3,335,1988-06-08,Kentucky,DT,Corey Peters,75.0,36
35527,5-11,195,1988-01-09,Citadel,WR,Andre Roberts,71.0,36
35534,6-7,265,1986-11-24,Miami,TE,Jimmy Graham,79.0,38
35539,6-3,273,1987-12-22,Southern California,DE,Everson Griffen,75.0,37
35562,6-4,330,1987-03-25,Louisiana State,DT,Al Woods,76.0,37
36712,6-1,210,1987-09-09,Rice,FS,Andrew Sendejo,73.0,37
36785,6-8,330,1985-10-27,Texas State,T,Ty Nsekhe,80.0,39
37075,6-3,250,1989-03-26,Texas A&amp;M,OLB,Von Miller,75.0,35
37077,6-4,210,1988-07-31,Georgia,WR,A.J. Green,76.0,36
37078,6-1,203,1990-07-11,Louisiana State,CB,Patrick Peterson,73.0,34
37079,6-3,220,1989-02-08,Alabama,WR,Julio Jones,75.0,35
37082,6-5,320,1990-12-12,Southern California,T,Tyron Smith,77.0,34
37083,6-4,235,1989-10-15,Missouri,QB,Blaine Gabbert,76.0,35
37084,6-5,288,1989-03-22,Wisconsin,DE,J.J. Watt,77.0,35
37087,6-4,257,1990-05-18,North Carolina,OLB,Robert Quinn,76.0,34
37089,6-4,265,1988-08-16,Purdue,DE,Ryan Kerrigan,76.0,36
37090,6-8,325,1988-04-12,Colorado,T,Nate Solder,80.0,36
37097,6-4,287,1989-07-10,California,DE,Cameron Jordan,76.0,35
37100,6-2,210,1988-07-26,Colorado,CB,Jimmy Smith,74.0,36
37101,5-9,215,1989-12-21,Alabama,RB,Mark Ingram,69.0,35
37104,6-5,295,1989-05-06,Ohio State,DT,Cameron Heyward,77.0,35
37110,6-2,220,1987-10-29,Texas Christian,QB,Andy Dalton,74.0,37
37112,6-3,268,1989-05-10,Pittsburgh,DE,Jabaal Sheard,75.0,35
37118,6-6,265,1989-11-09,Notre Dame,TE,Kyle Rudolph,78.0,35
37130,6-2,315,1989-07-12,Florida State,C,Rodney Hudson,74.0,35
37139,5-10,192,1990-08-22,Kentucky,WR,Randall Cobb,70.0,34
37145,6-3,270,1989-01-21,Georgia,OLB,Justin Houston,75.0,35
37174,6-4,246,1989-07-23,Mississippi State,OLB,K.J. Wright,76.0,35
37179,6-5,253,1988-07-17,Tennessee,TE,Luke Stocker,77.0,36
37200,6-0,195,1988-07-26,Eastern Washington,RB,Taiwan Jones,72.0,36
37213,6-6,335,1988-05-06,Texas Christian,T,Marcus Cannon,78.0,36
37229,6-3,195,1988-03-30,Stanford,CB,Richard Sherman,75.0,36
37234,6-6,265,1987-11-21,Marshall,TE,Lee Smith,78.0,37
37240,6-3,265,1988-12-17,Mississippi State,OLB,Pernell McPhee,75.0,36
37255,6-1,215,1989-08-03,Virginia Tech,QB,Tyrod Taylor,73.0,35
37266,6-3,295,1987-11-05,Cincinnati,C,Jason Kelce,75.0,37
37308,6-4,315,1990-03-17,Arizona State,DT,Lawrence Guy,76.0,34
37317,6-0,225,1989-07-05,Southern California,MLB,Malcolm Smith,72.0,35
37724,5-10,199,1989-06-18,Kansas,CB,Chris Harris,70.0,35
37737,6-1,210,1987-10-24,"Monmouth, N.J.",WR,Chris Hogan,73.0,37
37778,6-1,235,1989-08-24,Auburn,ILB,Josh Bynes,73.0,35
37792,6-1,250,1989-05-12,Central Michigan,LB,Nick Bellore,73.0,35
37841,6-3,260,1987-09-06,Troy,DE,Mario Addison,75.0,37
38538,6-4,207,1988-07-27,Texas A&amp;M,QB,Ryan Tannehill,76.0,36
38540,6-1,202,1990-09-19,South Carolina,CB,Stephon Gilmore,73.0,34
38542,6-4,310,1990-12-13,Mississippi State,DT,Fletcher Cox,76.0,34
38544,6-5,305,1990-12-21,Louisiana State,DE,Michael Brockers,77.0,34
38547,6-2,190,1989-10-26,Alabama,CB,Dre Kirkpatrick,74.0,35
38548,6-2,247,1989-04-26,South Carolina,OLB,Melvin Ingram,74.0,35
38551,6-5,265,1990-02-27,Syracuse,OLB,Chandler Jones,77.0,34
38553,6-6,305,1988-12-01,Iowa,T,Riley Reiff,78.0,36
38555,6-3,260,1990-03-12,Alabama,OLB,Dont'a Hightower,75.0,34
38556,6-4,258,1990-07-21,Illinois,DE,Whitney Mercilus,76.0,34
38557,6-4,315,1990-03-08,Wisconsin,G,Kevin Zeitler,76.0,34
38559,6-2,214,1989-02-02,Notre Dame,SS,Harrison Smith,74.0,35
38569,5-10,190,1988-10-29,North Alabama,CB,Janoris Jenkins,70.0,36
38577,6-0,242,1990-06-27,Utah State,MLB,Bobby Wagner,72.0,34
38578,6-0,208,1990-03-19,Illinois,SS,Tavon Wilson,72.0,34
38588,6-1,233,1990-01-23,Nebraska,ILB,Lavonte David,73.0,34
38592,5-11,192,1989-09-09,Vanderbilt,CB,Casey Hayward,71.0,35
38605,5-11,215,1988-11-29,Wisconsin,QB,Russell Wilson,71.0,36
38606,6-5,335,1989-08-19,"Miami, O.",G,Brandon Brooks,77.0,35
38607,6-2,248,1989-01-11,Arkansas State,ILB,Demario Davis,74.0,35
38613,6-2,215,1989-08-22,Rutgers,WR,Mohamed Sanu,74.0,35
38619,6-4,352,1989-11-16,"Regina, Can.",DT,Akiem Hicks,76.0,35
38622,5-10,183,1989-11-14,Florida International,WR,T.Y. Hilton,70.0,35
38629,6-3,308,1989-07-02,Georgia,C,Ben Jones,75.0,35
38630,5-10,175,1989-12-29,Miami,WR,Travis Benjamin,70.0,34
38632,6-3,202,1988-08-19,Michigan State,QB,Kirk Cousins,75.0,36
38642,6-6,325,1989-08-01,Mississippi,T,Bobby Massie,78.0,35
38667,6-5,290,1990-01-11,Tennessee,DT,Malik Jackson,77.0,34
38673,6-0,200,1987-12-15,Coastal Carolina,CB,Josh Norman,72.0,37
38681,6-3,300,1990-05-10,Washington,G,Senio Kelemete,75.0,34
38696,6-2,198,1990-03-12,California,WR,Marvin Jones,74.0,34
38707,6-0,200,1990-06-17,Presbyterian,FS,Justin Bethel,72.0,34
38718,6-0,239,1990-03-24,Kentucky,ILB,Danny Trevathan,72.0,34
38779,6-3,308,1989-06-08,Southern Methodist,T,Kelvin Beachum,75.0,35
38843,5-10,195,1990-06-23,Virginia,FS,Rodney McLeod,70.0,34
38868,6-1,212,1990-08-07,Wyoming,FS,Tashaun Gipson,73.0,34
38937,6-1,215,1988-02-17,Houston,QB,Case Keenum,73.0,36
38947,5-8,174,1989-04-26,Southern Methodist,WR,Cole Beasley,68.0,35
39008,6-1,230,1990-09-02,Wagner,OLB,Julian Stanford,73.0,34
39109,6-3,240,1990-07-25,Beloit,TE,Derek Carrier,75.0,34
39146,6-5,310,1989-04-11,Oregon State,T,Mike Remmers,77.0,35
39212,5-11,220,1990-01-26,Mississippi,RB,Brandon Bolden,71.0,34
39646,6-3,225,1991-04-13,Utah,WR,Josh Gordon,75.0,33
39684,6-3,305,1990-02-26,Pennsylvania,G,Greg Van Roten,75.0,34
39907,6-7,270,1986-04-22,California-Irvine,TE,Darren Fells,79.0,38
39908,6-2,220,1990-04-02,"California, Pa.",FS,Erik Harris,74.0,34
39941,5-10,207,1990-02-26,Southern Methodist,FS,Chris Banjo,70.0,34
39947,6-7,315,1991-01-05,Central Michigan,T,Eric Fisher,79.0,33
39950,6-6,317,1990-05-08,Oklahoma,T,Lane Johnson,78.0,34
39954,5-8,179,1990-03-15,West Virginia,WR,Tavon Austin,68.0,34
39959,6-3,294,1990-11-29,Missouri,DT,Sheldon Richardson,75.0,34
39960,6-2,318,1989-12-20,Utah,DT,Star Lotulelei,74.0,35
39965,6-5,311,1990-08-15,Syracuse,G,Justin Pugh,77.0,34
